window_start_idx,label,lstm_score,lstm_pred,ae_score,ae_pred
0,1,0.42775002,0,1.1450932,0
10,1,0.4228799,0,1.4598409,0
20,1,0.45288268,0,1.5937558,0
30,1,0.48332554,0,1.3651067,0
40,1,0.5031473,1,1.1348518,0
50,1,0.5665246,1,1.0787077,0
60,1,0.53735405,1,0.8754467,0
70,1,0.5054002,1,0.5955025,0
80,1,0.47698689,0,0.8036505,0
90,1,0.48650458,0,0.9426776,0
100,1,0.47799894,0,0.840596,0
110,1,0.5040511,1,0.72608584,0
120,1,0.52184856,1,0.6699045,0
130,1,0.5121039,1,0.40160137,0
140,1,0.5099031,1,0.23892021,0
150,1,0.4670844,0,0.20964679,0
160,1,0.45661184,0,0.25388715,0
170,1,0.4582215,0,0.44018605,0
180,1,0.4621732,0,0.70945114,0
190,1,0.47529662,0,0.8023294,0
200,1,0.48488128,0,0.99832135,0
210,1,0.53014594,1,1.6471343,0
220,1,0.56634253,1,2.1174767,1
230,1,0.56012523,1,2.084731,0
240,1,0.55455077,1,1.8450842,0
250,1,0.54436225,1,1.5731256,0
260,1,0.53069496,1,1.3299922,0
270,1,0.51831275,1,1.2345607,0
280,1,0.52394307,1,0.92176664,0
290,1,0.55184394,1,0.57227725,0
300,1,0.5619089,1,0.30408832,0
310,1,0.5713804,1,0.36884207,0
320,1,0.5720599,1,0.28521785,0
330,1,0.5668654,1,0.23591815,0
340,1,0.6050049,1,0.32668206,0
350,1,0.5989888,1,0.3981468,0
360,1,0.595561,1,0.39289343,0
370,1,0.5879003,1,0.4013181,0
380,1,0.5333524,1,0.44803712,0
390,0,0.541594,1,0.47249833,0
400,0,0.5651906,1,0.4453602,0
410,0,0.59571165,1,0.5007964,0
420,0,0.6192649,1,0.6148542,0
430,0,0.624185,1,0.672888,0
440,0,0.6203273,1,0.6787675,0
450,0,0.61992294,1,0.7521102,0
460,0,0.6113736,1,0.77988905,0
470,1,0.59136987,1,0.70246744,0
480,1,0.5982267,1,0.6629491,0
490,1,0.5817216,1,0.5966559,0
500,1,0.57438684,1,0.54256004,0
510,1,0.5656581,1,0.5082219,0
520,1,0.558622,1,0.4731505,0
530,1,0.58890915,1,0.4196972,0
540,1,0.5983194,1,0.4053916,0
550,1,0.61156553,1,0.37884012,0
560,1,0.60403043,1,0.34775317,0
570,0,0.5935848,1,0.3821247,0
580,0,0.58240145,1,0.35884604,0
590,0,0.58745176,1,0.34668824,0
600,0,0.57002217,1,0.25336948,0
610,0,0.5463692,1,0.19046047,0
620,0,0.59396005,1,0.21637617,0
630,0,0.6015843,1,0.29353505,0
640,1,0.6421133,1,0.521357,0
650,1,0.639048,1,0.7586828,0
660,1,0.5999631,1,0.8062576,0
670,1,0.570356,1,0.73070234,0
680,1,0.56343836,1,0.6350488,0
690,1,0.5522986,1,0.40066695,0
700,1,0.54182374,1,0.1715102,0
710,1,0.5666002,1,0.12161863,0
720,1,0.57648325,1,0.1317516,0
730,1,0.57694906,1,0.15491971,0
740,0,0.597984,1,0.2177505,0
750,0,0.5626219,1,0.22507581,0
760,0,0.5564324,1,0.2059015,0
770,0,0.56187254,1,0.1986755,0
780,0,0.5823247,1,0.21381831,0
790,0,0.57267886,1,0.15590282,0
800,0,0.5936891,1,0.20029405,0
810,0,0.6110769,1,0.29491562,0
820,0,0.6021755,1,0.34627664,0
830,0,0.58627254,1,0.35567474,0
840,0,0.57306343,1,0.37018046,0
850,0,0.57998,1,0.34478357,0
860,0,0.6052727,1,0.30659866,0
870,0,0.6143991,1,0.36722064,0
880,0,0.62067485,1,0.45251507,0
890,1,0.6069138,1,0.5697594,0
900,1,0.6233057,1,0.9100021,0
910,1,0.6337137,1,1.2708501,0
920,1,0.60943747,1,1.498911,0
930,1,0.61752063,1,1.7867831,0
940,1,0.6136985,1,1.9304188,0
